,hasu,asu,x-rhb,y-rhb,death,home,home-sc,nrh,ar,beds,los,phases,dd,ddphases
hasu,,0.4,,,0.08,0.52,,,4.1,20,2.5,1,,
asu,,,0.15,0.1,0.04,0.3,0.33,0.08,,23,6.8,1,,
x-rhb,,,,,0.1,0.1,0.5,0.3,,13,24.5,1,,
y-rhb,,,,,0.08,0.1,0.5,0.32,,9,21.4,1,,
death,,,,,,,,,,,,,,
home,,,,,,,,,,,,,,
home-sc,,,,,,,,,,,,,3,1
nrh,,,,,,,,,,,,,16,1
